DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Ducks,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
AL201700000001,ALGE71FL,AL,2017.0,1.0,AL2017DHS,-9999,-9999,-9999,68.03333282470703,84.85833740234375,114.9416732788086,80.13333129882812,22.428571701049805,29.688045501708984,38.96327590942383,26.130434036254883,0.17676017501137473,0.17901277542114258,0.1809143369848078,24.19727325439453,20.663333892822266,20.19333267211914,22.34000015258789,11.108333587646484,9.883333206176758,9.625,10.566666603088379,-9999,2469,2345,2684,2791,2956,3112,3213,2.7641665935516357,2.6583333015441895,1.2291666269302368,1.9616665840148926,56.166666666666664,5912.02685546875,11.0,43.72977066040039,-9999,-9999,-9999,17.7663631439209,15.194167137145996,15.06583309173584,16.684999465942383,14.303253173828125,414.78477647569446,1.464016596476237,35.86797417534722,1.619007534450955,49.99444580078125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22.21666717529297,20.58333396911621,21.433334350585938,22.075000762939453,16.641666412353516,15.616666793823242,16.58333396911621,16.774999618530273,11.108333587646484,10.699999809265137,11.808333396911621,11.508333206176758,10.511075533353365,11.335454940795898,9.725000381469727,9.938333511352539,11.029999732971191,3.0333333015441895,2.8583333492279053,2.950000047683716,3.066666603088379,41950.69208,10633.04482,17122.13559,979,798,1070,734,1045,1372,1071,3.0902892218695746,3.0,3.0,2.0,13.397000312805176,23.570999145507812,7.947000026702881,7.460999965667725,6.400000095367432,24.000999450683594,21.64900016784668,9.670000076293945,17.790000915527344,11.130000114440918,16.11400032043457,20.575000762939453,46.888888888888886,50.0,-9999,-9999,-9999,-9999,27229.9453125,26066.349609375,23221.5546875,21381.97265625,2319.1111111111113,2220.0099826388887,1977.7250434027778,1821.0516493055557,7.849999904632568,10.333333015441895,11.389999389648438,9.039999961853027
AL201700000002,ALGE71FL,AL,2017.0,2.0,AL2017DHS,-9999,-9999,-9999,68.03333282470703,84.85833740234375,114.9416732788086,80.13333129882812,22.428571701049805,29.688045501708984,38.96327590942383,26.130434036254883,0.10006226026094876,0.1011278904401339,0.10249908153827374,24.19727325439453,20.663333892822266,20.19333267211914,22.34000015258789,11.108333587646484,9.883333206176758,9.625,10.566666603088379,-9999,2469,2345,2684,2791,2956,3112,3213,2.7641665935516357,2.6583333015441895,1.2291666269302368,1.9616665840148926,47.333333333333336,5912.02685546875,11,43.72977066040039,-9999,-9999,-9999,17.7663631439209,15.194167137145996,15.06583309173584,16.684999465942383,19.10711161295573,404.7381184895833,1.7421653535630968,39.41786024305556,1.667432467142741,56.71570502387153,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22.21666717529297,20.58333396911621,21.433334350585938,22.075000762939453,16.641666412353516,15.616666793823242,16.58333396911621,16.774999618530273,11.108333587646484,10.699999809265137,11.808333396911621,11.508333206176758,5.7701048239683495,11.335454940795898,9.725000381469727,9.938333511352539,11.029999732971191,3.0333333015441895,2.8583333492279053,2.950000047683716,3.066666603088379,40918.61533,11973.31445,16971.74235,979,798,1070,734,1045,1372,1071,2.725682152642144,3.0,3.0,2.0,13.397000312805176,23.570999145507812,7.947000026702881,7.460999965667725,6.400000095367432,24.000999450683594,21.64900016784668,9.670000076293945,17.790000915527344,11.130000114440918,16.11400032043457,20.575000762939453,48.0,52.111111111111114,-9999,-9999,-9999,-9999,21314.15625,20397.279296875,18165.763671875,16721.84375,1815.286349826389,1737.1979166666667,1547.1438802083333,1424.1680772569443,7.849999904632568,10.333333015441895,11.389999389648438,9.039999961853027
AL201700000003,ALGE71FL,AL,2017.0,3.0,AL2017DHS,-9999,-9999,-9999,68.03333282470703,84.85833740234375,114.9416732788086,80.13333129882812,22.428571701049805,29.688045501708984,38.96327590942383,26.130434036254883,0.1122734730060284,0.11477292501009427,0.11530936681307279,24.19727325439453,20.663333892822266,20.19333267211914,22.34000015258789,11.108333587646484,9.883333206176758,9.625,10.566666603088379,-9999,2469.0,2345.0,2684.0,2791.0,2956.0,3112.0,3213.0,2.7641665935516357,2.6583333015441895,1.2291666269302368,1.9616665840148926,46.80952380952381,5912.02685546875,11,43.72977066040039,-9999,-9999,-9999,17.7663631439209,15.194167137145996,15.06583309173584,16.684999465942383,12.259525299072266,413.676904296875,1.192979621887207,36.53306274414062,1.4301218032836913,54.89320678710938,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22.21666717529297,20.58333396911621,21.433334350585938,22.075000762939453,16.641666412353516,15.616666793823242,16.58333396911621,16.774999618530273,11.108333587646484,10.699999809265137,11.808333396911621,11.508333206176758,8.992545572916667,11.335454940795898,9.725000381469727,9.938333511352539,11.029999732971191,3.0333333015441895,2.8583333492279053,2.950000047683716,3.066666603088379,42194.23065,10805.39824,18025.16667,898,726,1063,690,990,1262,966,3.659340667724609,3.0,3.0,2.0,13.397000312805176,23.570999145507812,7.947000026702881,7.460999965667725,6.400000095367432,24.000999450683594,21.64900016784668,9.670000076293945,17.790000915527344,11.130000114440918,16.11400032043457,20.575000762939453,46.2,51.6,-9999,-9999,-9999,-9999,29113.1171875,27878.126953125,24843.083984375,22881.544921875,2231.423046875,2136.765625,1904.1396484375,1753.7943359375,7.849999904632568,10.333333015441895,11.389999389648438,9.039999961853027
AL201700000004,ALGE71FL,AL,2017.0,4.0,AL2017DHS,-9999,-9999,-9999,68.03333282470703,84.85833740234375,114.9416732788086,80.13333129882812,22.428571701049805,29.688045501708984,38.96327590942383,26.130434036254883,0.11605874697367351,0.11724356810251872,0.11868534485499065,24.19727325439453,20.663333892822266,20.19333267211914,22.34000015258789,11.108333587646484,9.883333206176758,9.625,10.566666603088379,-9999,2469,2345,2684,2791,2956,3112,3213,2.7641665935516357,2.6583333015441895,1.2291666269302368,1.9616665840148926,50.21052631578947,5912.02685546875,11,43.72977066040039,-9999,-9999,-9999,17.7663631439209,15.194167137145996,15.06583309173584,16.684999465942383,17.056332236842106,411.72581722861844,1.5833321621543484,37.70466694078947,1.603251708181281,53.55519826788651,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22.21666717529297,20.58333396911621,21.433334350585938,22.075000762939453,16.641666412353516,15.616666793823242,16.58333396911621,16.774999618530273,11.108333587646484,10.699999809265137,11.808333396911621,11.508333206176758,8.157676213904272,11.335454940795898,9.725000381469727,9.938333511352539,11.029999732971191,3.0333333015441895,2.8583333492279053,2.950000047683716,3.066666603088379,41336.41352,11474.00597,17117.5039,979,798,1070,734,1045,1372,1071,3.097959418045847,3.0,3.0,2.0,13.397000312805176,23.570999145507812,7.947000026702881,7.460999965667725,6.400000095367432,24.000999450683594,21.64900016784668,9.670000076293945,17.790000915527344,11.130000114440918,16.11400032043457,20.575000762939453,46.63157894736842,51.73684210526316,-9999,-9999,-9999,-9999,28081.25,26887.40625,23958.064453125,22064.53125,2265.719366776316,2169.3947368421054,1933.0423519736842,1780.2637746710527,7.849999904632568,10.333333015441895,11.389999389648438,9.039999961853027
AL201700000005,ALGE71FL,AL,2017.0,5.0,AL2017DHS,-9999,-9999,-9999,68.03333282470703,84.85833740234375,114.9416732788086,80.13333129882812,22.428571701049805,29.688045501708984,38.96327590942383,26.130434036254883,0.17676017501137473,0.17901277542114258,0.1809143369848078,24.19727325439453,20.663333892822266,20.19333267211914,22.34000015258789,11.108333587646484,9.883333206176758,9.625,10.566666603088379,-9999,2469,2345,2684,2791,2956,3112,3213,2.7641665935516357,2.6583333015441895,1.2291666269302368,1.9616665840148926,56.166666666666664,5912.02685546875,11.0,43.72977066040039,-9999,-9999,-9999,17.7663631439209,15.194167137145996,15.06583309173584,16.684999465942383,14.303253173828125,414.78477647569446,1.464016596476237,35.86797417534722,1.619007534450955,49.99444580078125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22.21666717529297,20.58333396911621,21.433334350585938,22.075000762939453,16.641666412353516,15.616666793823242,16.58333396911621,16.774999618530273,11.108333587646484,10.699999809265137,11.808333396911621,11.508333206176758,10.358963403946314,11.335454940795898,9.725000381469727,9.938333511352539,11.029999732971191,3.0333333015441895,2.8583333492279053,2.950000047683716,3.066666603088379,41833.96262,10742.98543,17018.8767,979,798,1070,734,1045,1372,1071,3.0902892218695746,3.0,3.0,2.0,13.397000312805176,23.570999145507812,7.947000026702881,7.460999965667725,6.400000095367432,24.000999450683594,21.64900016784668,9.670000076293945,17.790000915527344,11.130000114440918,16.11400032043457,20.575000762939453,46.888888888888886,50.0,-9999,-9999,-9999,-9999,27229.9453125,26066.349609375,23221.5546875,21381.97265625,2319.1111111111113,2220.0099826388887,1977.7250434027778,1821.0516493055557,7.849999904632568,10.333333015441895,11.389999389648438,9.039999961853027
AL201700000006,ALGE71FL,AL,2017.0,6.0,AL2017DHS,-9999,-9999,-9999,68.03333282470703,84.85833740234375,114.9416732788086,80.13333129882812,22.428571701049805,29.688045501708984,38.96327590942383,26.130434036254883,0.14361541921442206,0.15684537454084915,0.15437242117795077,24.168182373046875,20.906665802001953,20.183332443237305,22.360000610351562,11.108333587646484,9.883333206176758,9.625,10.566666603088379,-9999,2349.0,2275.0,2497.0,2742.0,2807.0,2896.0,2876.0,2.7641665935516357,2.6583333015441895,1.2291666269302368,1.9616665840148926,57.1,5912.02685546875,11,43.72977066040039,-9999,-9999,-9999,17.702726364135742,15.241666793823242,15.042499542236328,16.610000610351562,18.46779022216797,402.0505126953125,1.1655894279479981,36.88063049316406,1.4391036987304688,55.63834838867187,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22.21666717529297,20.58333396911621,21.433334350585938,22.075000762939453,16.641666412353516,15.616666793823242,16.58333396911621,16.774999618530273,11.108333587646484,10.699999809265137,11.808333396911621,11.508333206176758,7.645266927083333,11.237272262573242,9.576666831970215,9.901666641235352,10.859999656677246,3.0333333015441895,2.8583333492279053,2.950000047683716,3.066666603088379,44013.2748,8647.735428,18855.90448,1037,851,1145,802,1110,1465,1152,3.5623435974121094,3.0,3.0,2.0,13.397000312805176,23.570999145507812,7.947000026702881,7.460999965667725,6.400000095367432,24.000999450683594,21.64900016784668,9.670000076293945,17.790000915527344,11.130000114440918,16.11400032043457,20.575000762939453,48.7,53.6,-9999,-9999,-9999,-9999,23872.88671875,22848.826171875,20351.9921875,18737.189453125,1829.6845703125,1751.19765625,1559.83359375,1436.0703125,7.849999904632568,10.333333015441895,11.389999389648438,9.039999961853027
AL201700000007,ALGE71FL,AL,2017.0,7.0,AL2017DHS,-9999,-9999,-9999,68.03333282470703,84.85833740234375,114.9416732788086,80.13333129882812,22.428571701049805,29.688045501708984,38.96327590942383,26.130434036254883,0.15087425708770752,0.16498540639877318,0.16341540813446045,24.168182373046875,20.906665802001953,20.183332443237305,22.360000610351562,11.108333587646484,9.883333206176758,9.625,10.566666603088379,-9999,2349.0,2275.0,2497.0,2742.0,2807.0,2896.0,2876.0,2.7641665935516357,2.6583333015441895,1.2291666269302368,1.9616665840148926,54.15,5912.02685546875,11,43.72977066040039,-9999,-9999,-9999,17.702726364135742,15.241666793823242,15.042499542236328,16.610000610351562,14.96612548828125,417.777197265625,0.9920361518859864,37.04407653808594,1.5134549140930176,52.25780029296875,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22.21666717529297,20.58333396911621,21.433334350585938,22.075000762939453,16.641666412353516,15.616666793823242,16.58333396911621,16.774999618530273,11.108333587646484,10.699999809265137,11.808333396911621,11.508333206176758,9.148517809416118,11.237272262573242,9.576666831970215,9.901666641235352,10.859999656677246,3.0333333015441895,2.8583333492279053,2.950000047683716,3.066666603088379,43482.13097,9279.526012,18606.91821,1037,851,1145,802,1110,1465,1152,3.772907257080078,3.0,3.0,2.0,13.397000312805176,23.570999145507812,7.947000026702881,7.460999965667725,6.400000095367432,24.000999450683594,21.64900016784668,9.670000076293945,17.790000915527344,11.130000114440918,16.11400032043457,20.575000762939453,47.7,52.6,-9999,-9999,-9999,-9999,30969.03515625,29659.83203125,26434.685546875,24350.892578125,2373.5626953125,2273.22109375,2026.0361328125,1866.327734375,7.849999904632568,10.333333015441895,11.389999389648438,9.039999961853027
AL201700000008,ALGE71FL,AL,2017.0,8.0,AL2017DHS,-9999,-9999,-9999,68.03333282470703,84.85833740234375,114.9416732788086,80.13333129882812,22.428571701049805,29.688045501708984,38.96327590942383,26.130434036254883,0.15090025388277495,0.15896298335148737,0.15992364516625038,24.168182373046875,20.906665802001953,20.183332443237305,22.360000610351562,11.108333587646484,9.883333206176758,9.625,10.566666603088379,-9999,2349,2275,2497,2742,2807,2896,2876,2.7641665935516357,2.6583333015441895,1.2291666269302368,1.9616665840148926,51.1,5912.02685546875,11,43.72977066040039,-9999,-9999,-9999,17.702726364135742,15.241666793823242,15.042499542236328,16.610000610351562,12.962905883789062,427.095751953125,0.940852165222168,37.43610534667969,1.53207426071167,51.636114501953124,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22.21666717529297,20.58333396911621,21.433334350585938,22.075000762939453,16.641666412353516,15.616666793823242,16.58333396911621,16.774999618530273,11.108333587646484,10.699999809265137,11.808333396911621,11.508333206176758,10.052388509114584,11.237272262573242,9.576666831970215,9.901666641235352,10.859999656677246,3.0333333015441895,2.8583333492279053,2.950000047683716,3.066666603088379,43031.88191,9818.411729,18405.57725,1050,843,1216,812,1127,1473,1145,4.03312873840332,3.0,3.0,2.0,13.397000312805176,23.570999145507812,7.947000026702881,7.460999965667725,6.400000095367432,24.000999450683594,21.64900016784668,9.670000076293945,17.790000915527344,11.130000114440918,16.11400032043457,20.575000762939453,47.05,52.0,-9999,-9999,-9999,-9999,32488.0390625,31116.34765625,27734.357421875,25549.4765625,2490.017578125,2384.885546875,2125.676171875,1958.2177734375,7.849999904632568,10.333333015441895,11.389999389648438,9.039999961853027
AL201700000009,ALGE71FL,AL,2017.0,9.0,AL2017DHS,-9999,-9999,-9999,68.03333282470703,84.85833740234375,114.9416732788086,80.13333129882812,22.428571701049805,29.688045501708984,38.96327590942383,26.130434036254883,0.1328031321366628,0.14504990975062051,0.14274040857950845,24.168182373046875,20.906665802001953,20.183332443237305,22.360000610351562,11.108333587646484,9.883333206176758,9.625,10.566666603088379,-9999,2349.0,2275.0,2497.0,2742.0,2807.0,2896.0,2876.0,2.7641665935516357,2.6583333015441895,1.2291666269302368,1.9616665840148926,53.7,5912.02685546875,11,43.72977066040039,-9999,-9999,-9999,17.702726364135742,15.241666793823242,15.042499542236328,16.610000610351562,17.26918182373047,405.83271484375,1.1806016921997071,36.777197265625,1.4747642517089843,53.53639526367188,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22.21666717529297,20.58333396911621,21.433334350585938,22.075000762939453,16.641666412353516,15.616666793823242,16.58333396911621,16.774999618530273,11.108333587646484,10.699999809265137,11.808333396911621,11.508333206176758,7.457852877103365,11.237272262573242,9.576666831970215,9.901666641235352,10.859999656677246,3.0333333015441895,2.8583333492279053,2.950000047683716,3.066666603088379,44159.13887,8628.916743,19161.26659,1050,843,1216,812,1127,1473,1145,3.7924022674560547,3.0,3.0,2.0,13.397000312805176,23.570999145507812,7.947000026702881,7.460999965667725,6.400000095367432,24.000999450683594,21.64900016784668,9.670000076293945,17.790000915527344,11.130000114440918,16.11400032043457,20.575000762939453,48.55,53.6,-9999,-9999,-9999,-9999,25697.421875,24599.93359375,21915.880859375,20180.615234375,1969.48515625,1885.372265625,1679.662890625,1546.67001953125,7.849999904632568,10.333333015441895,11.389999389648438,9.039999961853027
AL201700000010,ALGE71FL,AL,2017.0,10.0,AL2017DHS,-9999,-9999,-9999,68.03333282470703,84.85833740234375,114.9416732788086,80.13333129882812,22.428571701049805,29.688045501708984,38.96327590942383,26.130434036254883,0.11121568313011757,0.12165414370023288,0.11902985206017128,24.168182373046875,20.906665802001953,20.183332443237305,22.360000610351562,11.108333587646484,9.883333206176758,9.625,10.566666603088379,-9999,2349.0,2275.0,2497.0,2742.0,2807.0,2896.0,2876.0,2.7641665935516357,2.6583333015441895,1.2291666269302368,1.9616665840148926,59.25,5912.02685546875,11,43.72977066040039,-9999,-9999,-9999,17.702726364135742,15.241666793823242,15.042499542236328,16.610000610351562,22.949923706054687,410.090625,1.1813773155212401,41.18323669433594,1.6488475799560547,60.6689208984375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22.21666717529297,20.58333396911621,21.433334350585938,22.075000762939453,16.641666412353516,15.616666793823242,16.58333396911621,16.774999618530273,11.108333587646484,10.699999809265137,11.808333396911621,11.508333206176758,5.26136466784355,11.237272262573242,9.576666831970215,9.901666641235352,10.859999656677246,3.0333333015441895,2.8583333492279053,2.950000047683716,3.066666603088379,44517.46936,7988.583864,18982.73518,1037,851,1145,802,1110,1465,1152,3.719493103027344,3.0,3.0,2.0,13.397000312805176,23.570999145507812,7.947000026702881,7.460999965667725,6.400000095367432,24.000999450683594,21.64900016784668,9.670000076293945,17.790000915527344,11.130000114440918,16.11400032043457,20.575000762939453,49.4,54.75,-9999,-9999,-9999,-9999,19664.3125,18807.05078125,16740.8203125,15403.3125,1507.16533203125,1441.46083984375,1283.0951171875,1180.58203125,7.849999904632568,10.333333015441895,11.389999389648438,9.039999961853027
