ADM3_PT,ADM3_PCODE,T_TL,log_population,district_area,Water,Trees,Flooded vegetation,Crops,Built Area,Bare ground,Snow/Ice,Clouds,Rangeland,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,ST_ATRAN,ST_DRAD,ST_TRAD,ST_URAD,ST_EMIS,ST_EMSD,NDVI,NDWI,NDBI,osm_traffic,osm_transport,osm_places,osm_pofw,osm_pois,osm_railways,osm_roads,building_count,building_area,DNB
7 De Abril,MZ070901,39471.0,10.583346838769138,552.5441819171104,7.418100699382803e-05,0.2771459346762408,2.152494447542732e-05,2.1347052372324613e-06,0.003303456354617234,1.2452447217189358e-05,0.0,0.0,0.7194403158652183,2049.916544891475,2386.7494462394184,3340.038446699706,3955.8390951246724,3173.7321846990776,4977.27603791938,4766.7855922445215,7238.243625433038,91.97183452440329,1341.0157046334264,941.698192533129,2881.4686696602134,3349.2926809371534,24.665077156740015,3.0,1.9709607047069593,1.6891861113130284,1,1,0,0,4,21.086199234739194,69.76108055060898,6680,0.32990039241957314,0.25970819304152637
Alto Changane,MZ020201,6107.5557,8.717445641244058,2599.9245314426157,0.04954185005124136,0.6399785046659248,0.0031010498425913646,0.01745567139270672,0.0008932789702459083,3.361024930659353e-05,0.0,0.0,0.28899603482798325,1627.5468097034106,2076.861103333939,1920.4615459969261,2349.008533838889,1336.559453661022,229.93881635822726,1369.023286685388,1033.5740058694244,310.7293264772288,234.17866802333072,-147.72243694273257,799.8652440313234,104.67895800449875,34.247104166223636,3.05724197745013,1.9329762229113943,1.5178603473040184,0,0,1,0,1,0.0,474.6934557196804,8805,0.2476459362,4.7254325259515575
Alto Ligonha,MZ110501,77174.945,11.253843094193352,3898.1022694180315,0.0025980388020842844,0.47908352337604,1.815947316874873e-05,2.1836703519147224e-05,0.0024218339833761483,2.7478481590991492e-05,0.0,0.0,0.5158291291802207,642.900683821429,972.0498943904429,1310.6745283686616,1480.7384398461102,1379.8137761759795,620.4768887667657,992.0818251741678,1546.6087952206506,-119.06717277515251,167.2579870414576,565.8470834258042,719.1327839214476,394.89338581810074,80.18728703637679,2.6923076923076925,1.7663237506445215,1.1280095951204965,1,0,21,0,4,0.0,420.99312775567444,28939,1.2277789623498143,0.2599165918809059
Alto Molocue,MZ110101,297221.9,12.602237641347257,3737.5264479911198,0.0017598935766994456,0.35155027268282457,7.801367279225984e-06,0.00230896751091605,0.003194475409049275,3.247055570272437e-05,0.0,0.0,0.6411461188975287,53.870182952788156,387.2789290256709,726.4551986976866,544.1361842221828,1107.5911996143795,1277.619096656637,721.205028597809,876.6265844334047,11.898256775285686,36.346458498655615,-13.90765282869507,-364.4320395703372,-79.74463793112962,78.41251261381646,2.611111111111111,1.8322529558660547,1.1048080312845323,2,0,24,1,13,0.0,790.6799305043016,99769,3.8109114875999994,3.168709108494055
Alua,MZ070301,97911.96,11.491834199736717,1912.0594136561479,0.001015798765418577,0.09717787523953571,0.0,0.0004794847086689967,0.0031132666769854984,9.500833738199385e-05,0.0,5.166304370962146e-07,0.8981180496415722,2538.7226651576584,444.7151437440558,1468.2149880404527,1214.5893186747298,1723.4697121632983,1373.735502571143,2364.7072385907895,3157.932954216124,-565.8143780638967,9.283615056724049,-752.4953464209422,171.4894919182565,-450.3564326136898,53.071890564125916,0.0,1.9940158689858758,1.334242045612308,0,0,1,0,0,0.0,200.44886257537797,48241,2.7434744235000004,0.18944058976582834
Amatongas,MZ040301,41069.188,10.62303778449065,837.027315523912,0.00016860178398659038,0.266395075125337,0.0,0.007310885491603666,0.0072090859572330815,3.8189604647734005e-05,0.0,0.0,0.7188781620371919,4534.480242753708,4756.812460107318,1657.0193968648218,1779.5370621177683,3960.3261747545516,4072.8939447477564,5566.82987276519,5645.961001587647,-2924.4362448387387,1077.5132778644202,727.7098651999949,-1173.0087094289695,-4304.706169974948,47.04682987717894,2.0416666666666665,1.9540458819471522,1.4237642653252092,2,1,2,0,8,31.540020383441043,770.6157157557005,13436,0.46689366300945484,0.17777509652509654
Anchilo,MZ072201,84764.875,11.347648323335532,1316.4008478935746,0.000541769737861802,0.03803313108506852,5.223675158447127e-07,0.002077903354099432,0.020278829332607592,1.8357486985399903e-05,0.0,9.029495631030034e-06,0.9390404571402304,2295.668385483263,1481.6407920539468,2691.2474974263737,3630.659208242725,2416.270574029958,2589.6520133620907,3384.1384255042676,4328.881087671628,-329.43949696856083,288.6342030406377,-127.58948218105266,865.5644080397469,720.8008285960328,75.90855850923737,1.9411764705882353,1.9059959165679234,1.377455014234302,10,1,9,0,58,29.559748720777364,334.2610997476002,56361,3.187197698,0.32552091493028357
Ancuabe,MZ010101,68908.75,11.140552956424196,2088.591985579498,6.44367404418241e-05,0.4238893512821652,0.0,0.0014917865727803717,0.005005394676223199,1.2925363864436693e-05,0.0,0.0,0.5695361053645249,1015.7226529623345,1314.9300683074582,741.3783996984954,1326.3294201421031,2267.373218196565,1929.6920134287634,2147.0615479202957,13883.132311075376,373.0359274757464,-48.81329845433907,765.3630826181832,166.29971031338073,2596.352025861927,17.055636990091706,2.5572519083969465,1.8183467206885005,1.0468518421942477,1,0,35,0,22,0.0,552.5766143893019,23524,1.386511914715179,0.21893591535236576
Angoche,MZ070101,244935.86,12.408755742027116,473.5555933532377,0.03842652964143754,0.03696231226255003,0.07984790471150822,0.00267382515704108,0.02043369350690353,0.04773548099360548,0.0006352509538312168,0.00013770135906361378,0.7731473014140593,774.5796197369841,1146.3455841542943,2238.7158299030266,2734.4562751491603,8124.459360498281,8268.164625826743,5446.307187842067,7544.660812214516,-1536.0674101182597,1265.842348253642,1486.1545048646576,2719.9142479484494,925.6071838998778,5.6223947284549345,3.5029491360766083,1.8591571625330705,1.894482312967711,5,4,5,18,94,0.0,216.41087725496888,27439,1.4563120410000001,0.3838725490196079
Aube,MZ070102,27328.77,10.215731863226255,551.2613925560648,0.056998871098387555,0.2186993121809304,0.11561556116614899,0.001530896278633692,0.001572079775713946,0.019555418682182763,0.0005248162459784588,0.0003192632163035625,0.5851837813557207,1613.2601694347031,1872.5604942391265,2791.9386723092925,2827.0455958048306,2431.365976463764,6988.446567879135,4440.037244136602,8873.923026016533,-16.07986717687417,1268.3175948863716,2768.911166024265,2726.900005106201,3039.211759756297,49.64996148069755,3.632664499495572,1.9537732598762907,1.8538039103811552,0,0,11,0,3,0.0,30.765501558116707,8582,0.3747257384,0.2671790930053805
