ADM3_PT,ADM3_PCODE,ADM3_REF,ADM3ALT1_PT,ADM3ALT2_PT,ADM2_PT,ADM2_PCODE,ADM1_PT,ADM1_PCODE,ADM0_EN,ADM0_PT,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
7 De Abril,MZ070901,,,,Meconta,MZ0709,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,552.903625488281
Alto Changane,MZ020201,,,,Chibuto,MZ0202,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2601.8525390625
Alto Ligonha,MZ110501,,,,Gile,MZ1105,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3900.626953125
Alto Molocue,MZ110101,,,,Alto Molocue,MZ1101,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3738.8447265625
Alua,MZ070301,,,,Erati,MZ0703,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1913.13134765625
Amatongas,MZ040301,,,,Gondola,MZ0403,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,837.543762207031
Anchilo,MZ072201,,,,Rapale,MZ0722,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1317.40368652344
Ancuabe,MZ010101,,,,Ancuabe,MZ0101,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2089.83862304688
Angoche,MZ070101,,,,Angoche,MZ0701,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,473.804779052734
Aube,MZ070102,,,,Angoche,MZ0701,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,551.611633300781
Bajone,MZ111501,,,,Mocubela,MZ1115,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1348.08715820313
Balama,MZ010201,,,,Balama,MZ0102,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,971.495788574219
Bazaruto,MZ030601,,,,Inhassoro,MZ0306,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,100.211357116699
Bazua,MZ041101,,,,Tambara,MZ0411,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1980.29040527344
Bela Vista,MZ050601,,,,Matutuine,MZ0506,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2625.20434570313
Bilibiza,MZ011801,,,,Quissanga,MZ0118,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,787.246643066406
Boane,MZ050101,,,,Boane,MZ0501,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,599.030456542969
Boila,MZ070103,,,,Angoche,MZ0701,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1252.90869140625
Buzi,MZ090101,,,,Buzi,MZ0901,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3417.81176757813
Cafumpe,MZ040302,,,,Gondola,MZ0403,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,774.953186035156
Caia,MZ090201,,,,Caia,MZ0902,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2014.06884765625
Calanga,MZ050401,,,,Manhiça,MZ0504,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,589.15380859375
Calipo,MZ071301,,,,Mogovolas,MZ0713,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1085.46252441406
Campo,MZ111701,,,,Mopeia,MZ1117,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3668.17065429688
Caniçado,MZ020801,Canicado,,,Guija,MZ0208,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,28.7810344696045
Canxixe,MZ091001,,,,Maringue,MZ0910,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1684.1279296875
