variable,inc_prop
Trees,10.4878592890273
Built.Area,8.95150504358809
building_count,6.11295308997206
building_area,5.42120394249642
osm_roads,4.90289255875008
osm_pofw,4.42971055047517
NDBI,4.05104783010809
SR_B6,3.50093024544153
Water,3.19321414554066
osm_pois,2.78477508153708
DNB,2.70703325018606
SR_B2,2.43658580812827
Rangeland,2.25648515158591
osm_transport,2.23843783715129
Clouds,2.09571132867482
SR_B4,2.06771839366681
osm_places,2.06081844224674
SR_B7,2.03542993340348
NDWI,1.87961592674288
SR_B3,1.86523993711583
Crops,1.79074902096459
ST_ATRAN,1.78043398297965
osm_traffic,1.72781160669108
SR_B1,1.71472404953885
Snow.Ice,1.70749482929176
ST_DRAD,1.70569607119224
ST_EMIS,1.69624277027315
ST_TRAD,1.59141250386575
osm_railways,1.57610630694327
SR_B5,1.545884624715
ST_EMSD,1.49426602709317
ST_URAD,1.47352936283789
NDVI,1.25143911588588
ST_B10,1.17385013716644
Bare.ground,1.15715209534271
Flooded.vegetation,1.13403970938
