ADM2_PT,ADM2_PCODE,T_TL,log_population,district_area,Water,Trees,Flooded vegetation,Crops,Built Area,Bare ground,Snow/Ice,Clouds,Rangeland,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,ST_ATRAN,ST_DRAD,ST_TRAD,ST_URAD,ST_EMIS,ST_EMSD,NDVI,NDWI,NDBI,osm_traffic,osm_transport,osm_places,osm_pofw,osm_pois,osm_railways,osm_roads,building_count,building_area,DNB
Alto Molocue,MZ1101,406670.0,12.915759783722262,6338.219409632168,0.0010596730706936,0.2978580559027295,6.286696065844588e-06,0.0117786761354347,0.0022236276825487,2.0334745299398544e-05,0.0,0.0,0.6870533457672281,8612.977949856046,8936.873936976084,9963.22248292223,10676.034437722672,15551.777243047858,17000.576807583013,14446.310365464004,50934.320591618365,6620.0073652835645,1293.6267922982383,11267.04988005958,2783.357026537717,9682.580154348096,66.3098717504051,2.6236559139784945,1.902567563987144,1.183351112262117,2,0,30,1,17,0.0,1247.1693730843722,168137,5.8590525209,3.1654001783142443
Ancuabe,MZ0101,154621.0,11.948738707728076,4918.239098934708,9.721813532913694e-05,0.3802515113839915,1.423983475982794e-05,0.0009433386284945,0.0048107042895202,2.9730193252105363e-05,0.0,0.0,0.6138532575346526,8447.304458279748,8738.495296153447,9686.943637707349,10134.754003062984,16087.73141610791,16552.50939899145,13834.013068240807,49713.97411863264,6374.371517109242,1396.6540580227108,11044.539131278025,3042.818209682847,9697.915401551929,24.007839381901853,2.93218085106383,1.7574631338808206,1.0305804989884155,3,0,61,0,37,0.0,1093.596107616698,61339,3.438060392435545,0.2186454318268457
Angoche,MZ0701,427183.0,12.964970112743211,3016.6709667868618,0.0232199397567322,0.1362538606492901,0.0399197012052388,0.006986082408271,0.0040163941389363,0.014981155426963,0.0002074504527764,0.0001075595559806,0.7743078564058111,8322.495110301941,8592.142976872447,9530.52618803608,9675.984112365542,16429.45513567007,15272.825545872012,12146.198301116618,45974.00698260714,6575.952212992611,1281.8915858924388,9488.659923552796,2758.762331430737,9694.666898167903,47.22348540607574,3.6341387335940687,1.9374634669188824,1.6470473188198946,5,5,19,18,109,0.0,833.8963179932214,91295,4.3446799795,0.2856870498517159
Angonia,MZ1001,633717.0,13.359359339516065,3259.09003874294,0.000576745895673,0.0967730643948279,0.0,0.145047542240289,0.0348380819148447,1.6020719324252106e-05,0.0,0.0,0.722748544835041,9140.427436401256,9422.808459488828,10290.80399752899,10909.082979800236,15240.328063829473,17802.703288974233,15679.712975781122,47556.41147491467,8440.771633919252,613.5755614082126,10403.214369355625,1195.351368499196,9679.4446557918,10.640485606548332,2.0,1.9876262494696963,1.6002000271223216,8,2,60,0,17,0.0,4453.6565262517925,180423,6.803403119,2.7088166169091026
Balama,MZ0102,165660.0,12.017698810594256,5493.802772527817,0.0019977783122341,0.3998492350219829,8.510577415197989e-05,0.0180162058476406,0.0065385308508971,0.000286238666611,0.0,1.8019431325847952e-08,0.5732268875070508,8593.621995861897,8928.885100925927,9753.286527109576,10533.806974625792,14111.157382840694,16194.151376881371,14018.699862372152,50741.70666880283,7073.7882326124245,1141.9168345577964,11393.31690115722,2404.3677140569657,9678.697856731098,81.67869332812234,3.938729329852045,2.062473097040303,1.670289670764448,5,0,5,0,13,0.0,2762.2041112132715,75490,3.49089261303228,0.2220742366340005
Barue,MZ0401,243524.0,12.402974885639155,5770.186715355476,0.0012572566708103,0.4187910909661377,2.0706660696016093e-07,0.0230351937134854,0.0075113411674798,1.2958918485590072e-05,0.0,0.0,0.549391951496994,8601.498404477166,8828.977425746822,9808.872764397183,10097.51036998433,16434.495837941387,16261.10831480564,13723.415202428228,49063.9208470509,7748.410932770393,918.8756205403564,11206.770663443966,1881.5962071681377,9733.319030740358,12.570054382830769,2.099354838709677,1.9045346414026565,1.35254924478238,4,0,5,2,32,0.0,978.0086247187024,49069,1.8130487856,0.129165932555763
Bilene,MZ0201,169368.0,12.0398350456344,1663.005516269088,0.0301398690754449,0.3140077519176942,0.0108018944584662,0.0146236603147643,0.0511196950058928,0.0029683006101262,0.0,6.305660841584429e-06,0.5763325229567696,8521.331635296785,8895.927917489013,10118.878998319427,10205.322466226864,17550.039590883156,16195.20912781279,13078.194296938376,49776.99341776749,5456.5719582087495,1713.1776465048258,10460.37363621398,3860.284436625919,9733.957326640955,4.94012307168784,3.334643628509719,1.7058060035432383,1.1893112006975184,9,2,4,0,23,0.0,965.9475733462028,61832,3.0320881359,0.3818362573099415
Boane,MZ0501,267562.0,12.497110331607818,804.2855160505088,0.035893194271586,0.1748775340831893,0.0517870694686792,0.0915471396308529,0.2710445946412627,0.0002849392579059,0.0,0.0,0.3745655286465238,8760.905940585373,9144.60374311096,10161.042086969032,10755.103034248246,15486.139241516896,16576.725764001356,14492.67187201168,48371.8425054103,7130.5767538705495,1143.0042737176182,10605.75387615923,2472.622563815484,9709.397330090416,21.57215200949989,3.0226891427658384,1.9118398769375984,1.506099012257527,71,106,3,3,232,66.77706229738052,2998.503671720846,152784,10.3144697137,3.0673518164435944
Buzi,MZ0901,223142.0,12.315568100531117,7224.489149783497,0.0135367989553985,0.3772276813728914,0.0111078217192481,0.0130444528816006,0.0050691331574119,0.0017872392731752,0.0,1.3624431297504049e-08,0.5782268590158427,8495.599700131692,8683.571221380058,9719.68345449803,9389.67820869186,17184.300820363464,15068.989696720448,12097.990686559804,48489.597976635225,6514.743090362844,1373.7193990438875,10221.315873314492,2974.921957637202,9664.548350305566,21.866420144739124,2.7435581727337617,1.7267884038739305,1.324001517047582,56,0,66,2,79,0.0,19501.61987036735,50896,1.8293716034,0.2090256143994462
Cahora Bassa,MZ1002,171498.0,12.052332714667342,8840.763764758613,0.0427337378451787,0.3294367952216256,0.0001553338244731,0.0276519589273154,0.0038724741533601,0.000184848486516,0.0,0.0,0.5959648515415307,8799.616842760544,9153.914361293808,10297.80214595851,10940.86099123638,16046.14616230542,16955.537908913328,14100.796538203424,50160.96213297611,7034.766237070666,1171.8094862178325,11223.94203494131,2473.7332911254225,9696.118368461315,62.3616479783274,3.298666307422875,1.957697647419969,1.5711356154386578,5,4,2,2,56,0.0,1028.330487132174,37194,1.602436897,0.6067249761566913
